,time,code,ampshift,fsl,onset,spkamp,exptname,animalID
105,11.803164999999998,T,-20.0,6.364242828552368,5.363575717144762,11.3983154296875,20200531_000,20200531
109,12.439924999999999,T,-40.0,,,0.0,20200531_000,20200531
113,13.045385,T,40.0,2.7018012008005337,2.2615076717811875,12.1917724609375,20200531_000,20200531
117,13.712584999999999,T,20.0,3.162108072048032,2.8218812541694462,12.63427734375,20200531_000,20200531
121,14.391364999999999,T,-30.0,,,0.0,20200531_000,20200531
125,15.071665,T,10.0,3.5223482321547697,3.0620413609072714,12.908935546875,20200531_000,20200531
129,15.755944999999999,T,-10.0,4.783188792528351,4.202801867911941,11.8408203125,20200531_000,20200531
133,16.340944999999998,T,-0.0,4.162775183455636,3.6424282855236823,11.5509033203125,20200531_000,20200531
137,17.043264999999998,T,30.0,2.9219479653102067,2.5216811207471648,12.2528076171875,20200531_000,20200531
141,17.726824999999998,T,-5.0,4.342895263509005,3.8825883922615074,11.8865966796875,20200531_000,20200531
145,18.350544999999997,T,5.0,3.822548365577051,3.382254836557705,12.39013671875,20200531_000,20200531
159,20.616764999999997,T,-20.0,6.184122748498999,5.263509006004003,11.5509033203125,20200531_000,20200531
163,21.366425,T,-40.0,,,0.0,20200531_000,20200531
167,22.052864999999997,T,40.0,2.7018012008005337,2.2615076717811875,12.3443603515625,20200531_000,20200531
171,22.662584999999996,T,20.0,3.202134756504336,2.8819212808539025,12.5579833984375,20200531_000,20200531
175,23.272664999999996,T,-30.0,,,0.0,20200531_000,20200531
179,23.919524999999997,T,10.0,3.6624416277518343,1.040693795863909,12.359619140625,20200531_000,20200531
183,24.550424999999997,T,-10.0,4.8232154769846565,4.302868579052701,11.962890625,20200531_000,20200531
187,25.211885,T,0.0,4.202801867911941,3.6624416277518343,11.53564453125,20200531_000,20200531
191,25.822944999999997,T,30.0,2.941961307538359,2.561707805203469,11.871337890625,20200531_000,20200531
195,26.527945,T,-5.0,4.402935290193462,3.9626417611741163,11.8408203125,20200531_000,20200531
199,27.259925,T,5.0,3.8425617078052032,3.342228152101401,12.054443359375,20200531_000,20200531
213,29.432184999999997,T,-20.0,5.423615743829219,4.923282188125416,10.5133056640625,20200531_000,20200531
217,30.063525,T,-40.0,,,0.0,20200531_000,20200531
221,30.731685,T,40.0,2.6617745163442295,2.2815210140093396,10.3302001953125,20200531_000,20200531
225,31.400944999999997,T,20.0,3.202134756504336,2.8218812541694462,10.5743408203125,20200531_000,20200531
229,32.070705,T,-30.0,,,0.0,20200531_000,20200531
233,32.726684999999996,T,10.0,3.562374916611074,3.222148098732488,8.331298828125,20200531_000,20200531
237,33.375465,T,-10.0,4.723148765843896,4.322881921280853,7.4462890625,20200531_000,20200531
241,34.033784999999995,T,-0.0,4.082721814543029,3.7024683122081385,7.01904296875,20200531_000,20200531
