,time,code,ampshift,s0t,s0a,s1t,s1a,s2t,s2a,animalID,exptname
5,1.9505024999999998,T,-30.0,2.604340567612688,27.099609375,3.8814691151919862,21.514892578125,,,20200204,20200204_000
7,2.3441025,T,20.0,2.053422370617696,26.18408203125,3.30550918196995,20.08056640625,5.183639398998331,22.52197265625,20200204,20200204_000
9,2.7377024999999997,T,-5.0,2.1535893155258763,26.153564453125,3.4056761268781304,20.2178955078125,5.258764607679466,22.1099853515625,20200204,20200204_000
11,3.1313025,T,-10.0,2.1786310517529213,26.3214111328125,3.4557595993322203,20.44677734375,5.308848080133556,21.17919921875,20200204,20200204_000
13,3.5249224999999997,T,-20.0,2.3288814691151916,26.1993408203125,3.6060100166944906,20.6756591796875,5.584307178631051,22.8271484375,20200204,20200204_000
15,3.9185224999999995,T,40.0,2.053422370617696,25.8941650390625,3.330550918196995,19.8974609375,5.158597662771285,20.843505859375,20200204,20200204_000
17,4.312142499999999,T,-40.0,3.35559265442404,26.2603759765625,4.983305509181969,22.918701171875,,,20200204,20200204_000
19,4.7057424999999995,T,10.0,2.0784641068447414,25.848388671875,3.380634390651085,19.775390625,5.308848080133556,22.5372314453125,20200204,20200204_000
21,5.0993625,T,30.0,2.053422370617696,26.397705078125,3.30550918196995,20.172119140625,5.233722871452421,19.8974609375,20200204,20200204_000
23,5.493002499999999,T,0.0,2.1035058430717863,26.7181396484375,3.380634390651085,20.20263671875,5.258764607679466,22.247314453125,20200204,20200204_000
25,5.8866024999999995,T,5.0,2.0784641068447414,27.0843505859375,3.35559265442404,20.93505859375,5.033388981636059,18.280029296875,20200204,20200204_000
32,7.2642025,T,-30.0,2.604340567612688,29.78515625,3.8814691151919862,23.6968994140625,,,20200204,20200204_000
34,7.657822499999999,T,20.0,2.0784641068447414,29.8614501953125,3.35559265442404,22.857666015625,5.308848080133556,24.5361328125,20200204,20200204_000
36,8.0514225,T,-5.0,2.1786310517529213,30.426025390625,3.4557595993322203,23.406982421875,5.409015025041736,24.3377685546875,20200204,20200204_000
38,8.4450425,T,-10.0,2.2036727879799662,30.4718017578125,3.4808013355592653,23.6358642578125,5.434056761268781,24.10888671875,20200204,20200204_000
40,8.8386625,T,-20.0,2.3288814691151916,31.158447265625,3.5809682804674456,24.3988037109375,5.584307178631051,26.611328125,20200204,20200204_000
42,9.2322625,T,40.0,2.053422370617696,30.1971435546875,3.330550918196995,22.88818359375,4.983305509181969,18.8751220703125,20200204,20200204_000
44,9.625902499999999,T,-40.0,3.30550918196995,31.67724609375,4.958263772954925,27.5726318359375,,,20200204,20200204_000
46,10.0195025,T,10.0,2.0784641068447414,31.2042236328125,3.380634390651085,23.4832763671875,5.3338898163606006,26.0467529296875,20200204,20200204_000
48,10.413102499999999,T,30.0,2.028380634390651,31.890869140625,3.30550918196995,24.3377685546875,5.283806343906511,26.6571044921875,20200204,20200204_000
50,10.806702499999998,T,-0.0,2.1285475792988313,32.53173828125,3.4307178631051753,25.0244140625,5.058430717863105,18.463134765625,20200204,20200204_000
52,11.2003025,T,5.0,2.1035058430717863,32.4859619140625,3.35559265442404,24.810791015625,4.858096828046744,16.876220703125,20200204,20200204_000
