,time,code,ampshift,s0t,s0a,s1t,s1a,s2t,s2a,s3t,s3a,animalID,exptname
63,8.9705175,T,-40.0,,,,,,,,,20200621,20200621_000
65,9.264127499999999,T,10.0,3.5618729096989963,35.6903076171875,4.866220735785953,24.5819091796875,,,,,20200621,20200621_000
67,9.545937499999999,T,-20.0,6.77257525083612,37.3382568359375,,,,,,,20200621,20200621_000
69,9.8506475,T,-5.0,4.615384615384615,36.31591796875,6.1705685618729085,25.665283203125,,,,,20200621,20200621_000
71,10.073917499999999,T,40.0,2.759197324414716,35.5682373046875,3.9632107023411365,24.261474609375,5.769230769230768,19.0582275390625,,,20200621,20200621_000
73,10.3396075,T,-0.0,4.1638795986622075,36.3922119140625,5.6187290969899655,26.092529296875,,,,,20200621,20200621_000
75,10.5638975,T,5.0,3.913043478260869,36.3922119140625,5.2675585284280935,25.3448486328125,,,,,20200621,20200621_000
77,10.768927499999998,T,30.0,2.959866220735786,35.7818603515625,4.1638795986622075,24.658203125,6.020066889632107,19.805908203125,,,20200621,20200621_000
79,10.981957499999998,T,-30.0,,,,,,,,,20200621,20200621_000
81,11.185787499999998,T,20.0,3.260869565217391,35.6292724609375,4.464882943143812,24.8260498046875,6.822742474916387,21.8048095703125,,,20200621,20200621_000
83,11.3828175,T,-10.0,5.2675585284280935,37.078857421875,,,,,,,20200621,20200621_000
91,11.932117499999999,T,-40.0,,,,,,,,,20200621,20200621_000
93,12.0471075,T,10.0,3.612040133779264,35.4766845703125,4.866220735785953,24.4903564453125,,,,,20200621,20200621_000
95,12.169497499999999,T,-20.0,7.625418060200668,38.1011962890625,,,,,,,20200621,20200621_000
97,12.284867499999999,T,-5.0,4.615384615384615,35.9649658203125,6.020066889632107,25.634765625,,,,,20200621,20200621_000
99,12.403697499999998,T,40.0,2.8093645484949827,35.5224609375,4.013377926421405,24.2919921875,5.919732441471572,19.7906494140625,,,20200621,20200621_000
101,12.5235875,T,0.0,4.364548494983278,34.6832275390625,5.8193979933110365,24.658203125,,,,,20200621,20200621_000
103,12.636737499999999,T,5.0,4.013377926421405,34.5916748046875,5.367892976588628,24.96337890625,,,,,20200621,20200621_000
105,12.7454475,T,30.0,3.0100334448160533,34.759521484375,4.214046822742475,24.1851806640625,6.120401337792642,19.4244384765625,,,20200621,20200621_000
107,12.854937499999998,T,-30.0,,,,,,,,,20200621,20200621_000
109,12.962527499999998,T,20.0,3.311036789297659,34.820556640625,4.5150501672240795,24.658203125,6.872909698996655,21.514892578125,,,20200621,20200621_000
111,13.0713575,T,-10.0,5.518394648829432,36.346435546875,7.224080267558528,26.702880859375,,,,,20200621,20200621_000
119,13.516097499999999,T,-40.0,,,,,,,,,20200621,20200621_000
121,13.631927499999998,T,10.0,3.712374581939799,34.5001220703125,5.016722408026755,24.5361328125,,,,,20200621,20200621_000
123,13.7536575,T,-20.0,8.578595317725751,5.67626953125,,,,,,,20200621,20200621_000
125,13.872187499999999,T,-5.0,4.816053511705685,36.102294921875,6.521739130434782,26.42822265625,,,,,20200621,20200621_000
127,13.991057499999998,T,40.0,2.759197324414716,34.72900390625,3.9632107023411365,23.8494873046875,5.869565217391304,19.317626953125,,,20200621,20200621_000
129,14.1157475,T,-0.0,4.414715719063544,34.7900390625,5.869565217391304,25.0091552734375,,,,,20200621,20200621_000
131,14.239797499999998,T,5.0,4.013377926421405,33.538818359375,5.367892976588628,24.2462158203125,,,,,20200621,20200621_000
133,14.361827499999999,T,30.0,3.0100334448160533,32.5775146484375,4.1638795986622075,22.76611328125,6.220735785953177,19.3634033203125,,,20200621,20200621_000
135,14.4898575,T,-30.0,,,,,,,,,20200621,20200621_000
137,14.614987499999998,T,20.0,3.260869565217391,32.28759765625,4.5150501672240795,23.2086181640625,6.872909698996655,20.5841064453125,,,20200621,20200621_000
139,14.735037499999999,T,-10.0,5.518394648829432,34.9884033203125,7.274247491638796,26.1688232421875,,,,,20200621,20200621_000
147,15.230417499999998,T,-40.0,,,,,,,,,20200621,20200621_000
149,15.361727499999999,T,10.0,3.6622073578595313,32.5469970703125,4.966555183946488,23.162841796875,,,,,20200621,20200621_000
151,15.505457499999999,T,-20.0,8.277591973244146,35.1715087890625,,,,,,,20200621,20200621_000
153,15.643787499999998,T,-5.0,4.816053511705685,34.515380859375,6.421404682274247,25.0091552734375,,,,,20200621,20200621_000
155,15.791137499999998,T,40.0,2.8093645484949827,32.257080078125,3.9632107023411365,22.918701171875,5.869565217391304,18.1884765625,,,20200621,20200621_000
157,15.948887499999998,T,0.0,4.364548494983278,33.26416015625,5.869565217391304,24.47509765625,,,,,20200621,20200621_000
159,16.1041375,T,5.0,4.013377926421405,34.698486328125,5.418060200668896,24.7802734375,,,,,20200621,20200621_000
161,16.258947499999998,T,30.0,3.0100334448160533,32.440185546875,4.1638795986622075,22.7813720703125,6.020066889632107,18.3563232421875,,,20200621,20200621_000
163,16.4196375,T,-30.0,,,,,,,,,20200621,20200621_000
165,16.576347499999997,T,20.0,3.311036789297659,33.050537109375,4.5150501672240795,23.468017578125,7.4749163879598655,22.4761962890625,,,20200621,20200621_000
167,16.7329175,T,-10.0,5.518394648829432,34.7900390625,,,,,,,20200621,20200621_000
175,17.407797499999997,T,-40.0,,,,,,,,,20200621,20200621_000
177,17.5409875,T,10.0,3.6622073578595313,33.0352783203125,4.966555183946488,23.5137939453125,,,,,20200621,20200621_000
179,17.6867375,T,-20.0,7.424749163879598,33.8287353515625,,,,,,,20200621,20200621_000
181,17.8225475,T,-5.0,4.765886287625418,33.599853515625,6.3712374581939795,24.6124267578125,,,,,20200621,20200621_000
