,time,code,ampshift,peakAmp,peakT,exptname
2554,312.98393749999997,T,0.0,10.223388671875,6.403201600800401,20200719_004
2556,313.15916749999997,T,-30.0,4.364013671875,6.903451725862932,20200719_004
2558,313.41481749999997,T,5.0,12.1307373046875,6.053026513256628,20200719_004
2560,313.67332749999997,T,-40.0,4.21142578125,6.203101550775388,20200719_004
2562,313.93629749999997,T,-20.0,3.7841796875,6.103051525762882,20200719_004
2564,314.2027075,T,20.0,15.411376953125,5.652826413206604,20200719_004
2566,314.4786175,T,30.0,15.716552734375,5.302651325662832,20200719_004
2568,314.7396475,T,10.0,12.359619140625,5.802901450725363,20200719_004
2570,315.01649749999996,T,-10.0,7.7056884765625,7.8039019509754874,20200719_004
2572,315.28990749999997,T,-5.0,7.6446533203125,7.35367683841921,20200719_004
2574,315.51885749999997,T,40.0,18.951416015625,5.2026013006503256,20200719_004
2582,316.52975749999996,T,0.0,11.383056640625,6.503251625812907,20200719_004
2584,316.8068075,T,-30.0,3.9825439453125,6.253126563281642,20200719_004
2586,317.0742175,T,5.0,11.8408203125,6.103051525762882,20200719_004
2588,317.3369075,T,-40.0,3.936767578125,6.053026513256628,20200719_004
2590,317.64401749999996,T,-20.0,3.7384033203125,6.103051525762882,20200719_004
2592,317.9255075,T,20.0,14.8162841796875,5.452726363181592,20200719_004
2594,318.18139749999995,T,30.0,16.4794921875,5.402701350675338,20200719_004
2596,318.4387675,T,10.0,14.556884765625,5.952976488244123,20200719_004
2598,318.7108575,T,-10.0,8.2855224609375,7.403701850925463,20200719_004
2600,318.97970749999996,T,-5.0,11.077880859375,6.603301650825413,20200719_004
2602,319.2369975,T,40.0,20.5230712890625,5.252626313156578,20200719_004
2610,320.1317175,T,0.0,10.6201171875,6.353176588294147,20200719_004
2612,320.40070749999995,T,-30.0,4.0740966796875,6.253126563281642,20200719_004
2614,320.69615749999997,T,5.0,12.5732421875,6.003001500750375,20200719_004
2616,320.96306749999997,T,-40.0,4.2877197265625,6.203101550775388,20200719_004
2618,321.20795749999996,T,-20.0,3.814697265625,6.403201600800401,20200719_004
2620,321.4706475,T,20.0,15.8538818359375,5.652826413206604,20200719_004
2622,321.7218375,T,30.0,16.2506103515625,5.302651325662832,20200719_004
2624,321.98810749999996,T,10.0,14.4195556640625,5.902951475737869,20200719_004
2626,322.2511575,T,-10.0,6.7596435546875,8.354177088544274,20200719_004
2628,322.5177075,T,-5.0,8.8958740234375,6.453226613306654,20200719_004
2630,322.73929749999996,T,40.0,17.4102783203125,5.152576288144073,20200719_004
2638,323.6797575,T,-0.0,11.322021484375,6.1530765382691355,20200719_004
2640,323.9366475,T,-30.0,3.814697265625,6.103051525762882,20200719_004
2642,324.18985749999996,T,5.0,13.0615234375,6.1530765382691355,20200719_004
2644,324.46020749999997,T,-40.0,3.84521484375,6.003001500750375,20200719_004
2646,324.6956975,T,-20.0,3.7994384765625,5.852926463231616,20200719_004
2648,324.9402475,T,20.0,15.5487060546875,5.652826413206604,20200719_004
2650,325.20493749999997,T,30.0,16.7999267578125,5.402701350675338,20200719_004
2652,325.4042075,T,10.0,12.237548828125,5.7528764382191095,20200719_004
2654,325.54295749999994,T,-10.0,3.8604736328125,5.852926463231616,20200719_004
2656,325.66042749999997,T,-5.0,7.8277587890625,7.403701850925463,20200719_004
2658,325.77279749999997,T,40.0,19.8822021484375,5.3526763381690845,20200719_004
2666,326.12875749999995,T,0.0,8.575439453125,6.803401700850426,20200719_004
2668,326.22862749999996,T,-30.0,3.60107421875,5.7528764382191095,20200719_004
2670,326.3595175,T,5.0,11.4898681640625,6.103051525762882,20200719_004
2672,326.50890749999996,T,-40.0,3.936767578125,6.103051525762882,20200719_004
2674,326.7175175,T,-20.0,3.5400390625,5.802901450725363,20200719_004
2676,326.95784749999996,T,20.0,15.228271484375,5.602801400700351,20200719_004
2678,327.18679749999995,T,30.0,15.289306640625,5.3526763381690845,20200719_004
2680,327.3813075,T,10.0,13.6566162109375,5.852926463231616,20200719_004
2682,327.5515375,T,-10.0,6.805419921875,7.853926963481741,20200719_004
2684,327.76282749999996,T,-5.0,7.537841796875,7.1035517758879445,20200719_004
2686,328.0031575,T,40.0,18.646240234375,5.2026013006503256,20200719_004
2694,328.93449749999996,T,0.0,8.1329345703125,6.7033516758379195,20200719_004
2696,329.1660275,T,-30.0,3.936767578125,5.902951475737869,20200719_004
2698,329.44753749999995,T,5.0,10.4827880859375,6.103051525762882,20200719_004
2700,329.70836749999995,T,-40.0,4.0283203125,6.203101550775388,20200719_004
2702,330.00379749999996,T,-20.0,3.7994384765625,5.902951475737869,20200719_004
2704,330.26300749999996,T,20.0,14.8162841796875,5.452726363181592,20200719_004
2706,330.51005749999996,T,30.0,16.0064697265625,5.3526763381690845,20200719_004
2708,330.76480749999996,T,10.0,13.00048828125,5.952976488244123,20200719_004
2710,330.95579749999996,T,-10.0,7.1563720703125,8.354177088544274,20200719_004
2712,331.1957475,T,-5.0,6.622314453125,8.754377188594297,20200719_004
2714,331.46083749999997,T,40.0,17.1966552734375,5.2026013006503256,20200719_004
2722,332.39309749999995,T,0.0,8.6669921875,6.7033516758379195,20200719_004
2724,332.5623275,T,-30.0,3.7078857421875,6.253126563281642,20200719_004
2726,332.8143975,T,5.0,10.5133056640625,6.1530765382691355,20200719_004
2728,333.06352749999996,T,-40.0,3.8604736328125,6.053026513256628,20200719_004
2730,333.33171749999997,T,-20.0,3.5858154296875,5.802901450725363,20200719_004
2732,333.56582749999995,T,20.0,15.2435302734375,5.602801400700351,20200719_004
2734,333.81899749999997,T,30.0,16.78466796875,5.402701350675338,20200719_004
2736,334.0695075,T,10.0,11.23046875,5.852926463231616,20200719_004
2738,334.3196375,T,-10.0,7.7056884765625,7.8039019509754874,20200719_004
2740,334.5822075,T,-5.0,7.5836181640625,7.403701850925463,20200719_004
2742,334.8411175,T,40.0,17.8375244140625,5.2026013006503256,20200719_004
2750,335.38919749999997,T,-0.0,8.3465576171875,6.953476738369186,20200719_004
2752,335.47572749999995,T,-30.0,3.570556640625,6.203101550775388,20200719_004
2754,335.5721175,T,5.0,11.8408203125,6.203101550775388,20200719_004
2756,335.6719075,T,-40.0,4.150390625,6.55327663831916,20200719_004
2758,335.7977575,T,-20.0,3.3721923828125,5.652826413206604,20200719_004
2760,335.9653075,T,20.0,15.7623291015625,5.602801400700351,20200719_004
2762,336.16623749999997,T,30.0,16.3726806640625,5.302651325662832,20200719_004
2764,336.34466999999995,T,10.0,11.4593505859375,5.802901450725363,20200719_004
2766,336.48959749999995,T,-10.0,3.7689208984375,6.003001500750375,20200719_004
2768,336.62976749999996,T,-5.0,7.38525390625,7.203601800900451,20200719_004
2770,336.79711749999996,T,40.0,19.3939208984375,5.2026013006503256,20200719_004
2778,337.49915749999997,T,0.0,9.1094970703125,6.253126563281642,20200719_004
2780,337.69102749999996,T,-30.0,3.7841796875,5.852926463231616,20200719_004
2782,337.91119749999996,T,5.0,10.2386474609375,6.203101550775388,20200719_004
2784,338.15680749999996,T,-40.0,4.0130615234375,6.353176588294147,20200719_004
2786,338.43395749999996,T,-20.0,3.875732421875,6.203101550775388,20200719_004
2788,338.6904275,T,20.0,14.8468017578125,5.552776388194097,20200719_004
2790,338.9080975,T,30.0,15.6707763671875,5.3526763381690845,20200719_004
2792,339.09392749999995,T,10.0,11.8408203125,5.952976488244123,20200719_004
2794,339.2540175,T,-10.0,7.080078125,8.30415207603802,20200719_004
2796,339.4246075,T,-5.0,8.1024169921875,7.403701850925463,20200719_004
2798,339.6131175,T,40.0,21.17919921875,5.302651325662832,20200719_004
2806,340.4638975,T,-0.0,8.270263671875,6.753376688344173,20200719_004
2808,340.7061075,T,-30.0,3.997802734375,5.802901450725363,20200719_004
2810,340.9548175,T,5.0,10.6201171875,6.003001500750375,20200719_004
2812,341.19456749999995,T,-40.0,4.058837890625,5.902951475737869,20200719_004
2814,341.46921749999996,T,-20.0,4.0130615234375,6.303151575787894,20200719_004
2816,341.7550075,T,20.0,14.34326171875,5.702851425712857,20200719_004
2818,341.99569749999995,T,30.0,16.9525146484375,5.402701350675338,20200719_004
2820,342.26482749999997,T,10.0,13.946533203125,5.952976488244123,20200719_004
2822,342.43893749999995,T,-10.0,7.476806640625,8.754377188594297,20200719_004
2824,342.6610475,T,-5.0,7.8277587890625,7.453726863431717,20200719_004
2826,342.90079749999995,T,40.0,21.453857421875,5.252626313156578,20200719_004
2834,343.5090975,T,0.0,8.3770751953125,6.853426713356678,20200719_004
2836,343.68116749999996,T,-30.0,3.6773681640625,5.952976488244123,20200719_004
2838,343.92889749999995,T,5.0,9.82666015625,6.253126563281642,20200719_004
2840,344.17274749999996,T,-40.0,3.814697265625,5.7528764382191095,20200719_004
2842,344.4422575,T,-20.0,3.8604736328125,6.103051525762882,20200719_004
2844,344.68652749999995,T,20.0,15.869140625,5.652826413206604,20200719_004
2846,344.93445749999995,T,30.0,17.852783203125,5.402701350675338,20200719_004
2848,345.19194749999997,T,10.0,11.993408203125,5.902951475737869,20200719_004
2850,345.4336975,T,-10.0,7.568359375,8.454227113556778,20200719_004
2852,345.70964749999996,T,-5.0,7.781982421875,7.6538269134567285,20200719_004
2854,345.98625749999997,T,40.0,19.04296875,5.252626313156578,20200719_004
2862,346.75125749999995,T,-0.0,10.101318359375,6.1530765382691355,20200719_004
2864,346.98346749999996,T,-30.0,3.84521484375,6.55327663831916,20200719_004
2866,347.25357749999995,T,5.0,9.7198486328125,6.353176588294147,20200719_004
2868,347.52370749999994,T,-40.0,3.875732421875,6.003001500750375,20200719_004
2870,347.8138975,T,-20.0,3.8909912109375,6.003001500750375,20200719_004
2872,348.0816675,T,20.0,15.472412109375,5.602801400700351,20200719_004
2874,348.3129775,T,30.0,18.341064453125,5.452726363181592,20200719_004
2876,348.5523075,T,10.0,12.3138427734375,5.7528764382191095,20200719_004
2878,348.81463749999995,T,-10.0,7.904052734375,10.355177588794398,20200719_004
2880,349.0842075,T,-5.0,8.3770751953125,7.153576788394197,20200719_004
2882,349.34309749999994,T,40.0,20.3704833984375,5.3526763381690845,20200719_004
2890,350.2378975,T,-0.0,9.58251953125,6.503251625812907,20200719_004
2892,350.49200749999994,T,-30.0,3.7689208984375,5.602801400700351,20200719_004
2894,350.7454375,T,5.0,11.474609375,6.103051525762882,20200719_004
2896,350.9654475,T,-40.0,4.0283203125,6.203101550775388,20200719_004
2898,351.20079749999996,T,-20.0,3.875732421875,6.603301650825413,20200719_004
2900,351.4456075,T,20.0,17.08984375,5.652826413206604,20200719_004
2902,351.68861749999996,T,30.0,15.869140625,5.3526763381690845,20200719_004
2904,351.87890749999997,T,10.0,13.153076171875,5.852926463231616,20200719_004
563,54.538819999999994,T,40.0,43.426513671875,4.102051025512757,20200719_001
565,54.63938999999999,T,5.0,40.496826171875,5.252626313156578,20200719_001
567,54.732699999999994,T,-10.0,37.872314453125,6.803401700850426,20200719_001
569,54.83438999999999,T,-0.0,39.4744873046875,5.602801400700351,20200719_001
571,54.9586,T,-30.0,4.2572021484375,9.054527263631815,20200719_001
573,55.091089999999994,T,30.0,44.4793701171875,4.452226113056529,20200719_001
575,55.22358,T,-40.0,3.4027099609375,4.652326163081542,20200719_001
577,55.364489999999996,T,20.0,43.9605712890625,4.602301150575288,20200719_001
579,55.522839999999995,T,10.0,42.2515869140625,4.95247623811906,20200719_001
581,55.69228999999999,T,-5.0,40.1153564453125,6.103051525762882,20200719_001
583,55.887919999999994,T,-20.0,7.0343017578125,7.153576788394197,20200719_001
591,56.646179999999994,T,40.0,44.891357421875,4.15207603801901,20200719_001
593,56.80582999999999,T,5.0,41.19873046875,5.302651325662832,20200719_001
595,56.971039999999995,T,-10.0,35.1715087890625,7.153576788394197,20200719_001
597,57.205389999999994,T,0.0,40.1763916015625,5.552776388194097,20200719_001
599,57.442299999999996,T,-30.0,5.0201416015625,9.104552276138069,20200719_001
601,57.68214999999999,T,30.0,45.5474853515625,4.4022011005502755,20200719_001
603,57.904999999999994,T,-40.0,3.5400390625,5.602801400700351,20200719_001
605,58.141189999999995,T,20.0,43.8079833984375,4.552276138069034,20200719_001
607,58.36729999999999,T,10.0,43.243408203125,4.902451225612807,20200719_001
609,58.59748999999999,T,-5.0,41.961669921875,5.902951475737869,20200719_001
611,58.80743999999999,T,-20.0,7.0648193359375,6.303151575787894,20200719_001
619,59.70607999999999,T,40.0,45.2117919921875,4.102051025512757,20200719_001
621,59.93778999999999,T,5.0,41.351318359375,5.152576288144073,20200719_001
623,60.14948,T,-10.0,40.008544921875,6.303151575787894,20200719_001
625,60.39068999999999,T,-0.0,42.3431396484375,5.452726363181592,20200719_001
627,60.627199999999995,T,-30.0,6.500244140625,7.453726863431717,20200719_001
629,60.85639,T,30.0,44.37255859375,4.352176088044022,20200719_001
631,61.087939999999996,T,-40.0,3.35693359375,5.302651325662832,20200719_001
633,61.318889999999996,T,20.0,43.1365966796875,4.552276138069034,20200719_001
635,61.53697999999999,T,10.0,42.266845703125,4.902451225612807,20200719_001
637,61.70672999999999,T,-5.0,41.19873046875,5.7528764382191095,20200719_001
639,61.87277999999999,T,-20.0,6.89697265625,7.153576788394197,20200719_001
647,62.50697999999999,T,40.0,44.708251953125,4.15207603801901,20200719_001
649,62.64771,T,5.0,41.015625,5.3526763381690845,20200719_001
651,62.7859,T,-10.0,38.0401611328125,6.7033516758379195,20200719_001
653,62.937129999999996,T,-0.0,39.2608642578125,5.602801400700351,20200719_001
655,63.072379999999995,T,-30.0,4.730224609375,8.354177088544274,20200719_001
657,63.211909999999996,T,30.0,45.3033447265625,4.452226113056529,20200719_001
659,63.361259999999994,T,-40.0,3.326416015625,4.702351175587794,20200719_001
661,63.51608999999999,T,20.0,43.9300537109375,4.452226113056529,20200719_001
663,63.657619999999994,T,10.0,42.8466796875,5.102551275637819,20200719_001
665,63.81038999999999,T,-5.0,40.618896484375,5.952976488244123,20200719_001
667,63.96039999999999,T,-20.0,5.889892578125,6.053026513256628,20200719_001
675,64.66373999999999,T,40.0,45.4864501953125,4.15207603801901,20200719_001
677,64.82309,T,5.0,41.0003662109375,5.5027513756878434,20200719_001
679,64.98912,T,-10.0,38.9251708984375,6.903451725862932,20200719_001
681,65.20951,T,-0.0,42.41943359375,5.5027513756878434,20200719_001
683,65.42623999999999,T,-30.0,5.8135986328125,7.35367683841921,20200719_001
685,65.63848999999999,T,30.0,44.2962646484375,4.452226113056529,20200719_001
687,65.79599999999999,T,-40.0,3.7384033203125,5.002501250625313,20200719_001
689,66.01249,T,20.0,44.1436767578125,4.502251125562782,20200719_001
691,66.17474,T,10.0,42.572021484375,5.002501250625313,20200719_001
693,66.38543,T,-5.0,38.75732421875,6.003001500750375,20200719_001
695,66.59872,T,-20.0,6.6070556640625,5.952976488244123,20200719_001
703,67.52377999999999,T,40.0,45.1812744140625,4.052026013006503,20200719_001
705,67.74843,T,5.0,41.07666015625,5.2026013006503256,20200719_001
707,67.98008,T,-10.0,38.4674072265625,6.55327663831916,20200719_001
709,68.22219,T,0.0,41.8548583984375,5.402701350675338,20200719_001
711,68.48252,T,-30.0,6.7596435546875,7.5037518759379696,20200719_001
713,68.73608999999999,T,30.0,43.8385009765625,4.352176088044022,20200719_001
715,68.90917999999999,T,-40.0,3.570556640625,4.8024012006003005,20200719_001
717,69.12319,T,20.0,44.6014404296875,4.502251125562782,20200719_001
719,69.3544,T,10.0,43.4417724609375,4.902451225612807,20200719_001
721,69.59299,T,-5.0,39.7491455078125,5.902951475737869,20200719_001
723,69.80799999999999,T,-20.0,6.683349609375,6.053026513256628,20200719_001
731,70.77019999999999,T,40.0,44.9981689453125,4.15207603801901,20200719_001
733,70.99418999999999,T,5.0,41.3970947265625,5.2026013006503256,20200719_001
735,71.22649999999999,T,-10.0,39.5660400390625,6.403201600800401,20200719_001
737,71.48499,T,0.0,41.107177734375,5.5027513756878434,20200719_001
739,71.74094,T,-30.0,6.378173828125,7.853926963481741,20200719_001
