,time,code,ampshift,peakAmp,peakT,exptname
2208,269.2840475,T,-0.0,12.451171875,7.303651825912957,20200719_004
2210,269.4995975,T,-30.0,0.06103515625,,20200719_004
2212,269.73384749999997,T,5.0,12.3291015625,6.953476738369186,20200719_004
2214,270.00829749999997,T,-40.0,-0.091552734375,,20200719_004
2216,270.2789075,T,-20.0,2.410888671875,12.00600300150075,20200719_004
2218,270.5539775,T,20.0,14.2669677734375,6.453226613306654,20200719_004
2220,270.8165075,T,30.0,13.5345458984375,5.852926463231616,20200719_004
2222,271.09529749999996,T,10.0,12.8326416015625,6.7033516758379195,20200719_004
2224,271.36814749999996,T,-10.0,11.8255615234375,9.004502251125563,20200719_004
2226,271.6535575,T,-5.0,11.810302734375,7.753876938469236,20200719_004
2228,271.9406075,T,40.0,14.739990234375,5.652826413206604,20200719_004
2236,272.8727075,T,0.0,12.6953125,7.403701850925463,20200719_004
2238,273.14129749999995,T,-30.0,-0.0457763671875,,20200719_004
2240,273.40036749999996,T,5.0,12.6800537109375,6.903451725862932,20200719_004
2242,273.6835175,T,-40.0,0.0762939453125,,20200719_004
2244,273.96430749999996,T,-20.0,-0.274658203125,,20200719_004
2246,274.25897749999996,T,20.0,13.427734375,6.403201600800401,20200719_004
2248,274.55330749999996,T,30.0,14.22119140625,5.902951475737869,20200719_004
2250,274.83025749999996,T,10.0,12.969970703125,6.853426713356678,20200719_004
2252,275.1334475,T,-10.0,11.2457275390625,9.304652326163083,20200719_004
2254,275.3964375,T,-5.0,12.0391845703125,8.15407703851926,20200719_004
2256,275.5890675,T,40.0,14.495849609375,5.552776388194097,20200719_004
2264,276.20190749999995,T,-0.0,12.786865234375,7.603801900950476,20200719_004
2266,276.3503575,T,-30.0,-0.0762939453125,,20200719_004
2268,276.5190275,T,5.0,13.0615234375,6.903451725862932,20200719_004
2270,276.7637375,T,-40.0,0.0457763671875,,20200719_004
2272,277.00064749999996,T,-20.0,-0.091552734375,,20200719_004
2274,277.26145749999995,T,20.0,14.4195556640625,6.303151575787894,20200719_004
2276,277.5263675,T,30.0,14.404296875,5.952976488244123,20200719_004
2278,277.8188975,T,10.0,12.9241943359375,6.903451725862932,20200719_004
2280,278.10632749999996,T,-10.0,12.4359130859375,9.504752376188094,20200719_004
2282,278.3568175,T,-5.0,12.6800537109375,8.054027013506753,20200719_004
2284,278.62602749999996,T,40.0,14.22119140625,5.552776388194097,20200719_004
2292,279.66166749999996,T,-0.0,12.5274658203125,7.703851925962982,20200719_004
2294,279.9464175,T,-30.0,0.0152587890625,,20200719_004
2296,280.21284749999995,T,5.0,12.6495361328125,6.853426713356678,20200719_004
2298,280.50071749999995,T,-40.0,-0.0152587890625,,20200719_004
2300,280.7690275,T,-20.0,-0.18310546875,,20200719_004
2302,281.0560375,T,20.0,14.4195556640625,6.453226613306654,20200719_004
2304,281.26530749999995,T,30.0,14.0228271484375,5.852926463231616,20200719_004
2306,281.5040175,T,10.0,13.671875,6.903451725862932,20200719_004
2308,281.7703075,T,-10.0,3.0364990234375,9.654827413706855,20200719_004
2310,282.01795749999997,T,-5.0,12.1307373046875,8.15407703851926,20200719_004
2312,282.2874075,T,40.0,14.495849609375,5.702851425712857,20200719_004
2320,283.13460749999996,T,0.0,12.8021240234375,7.703851925962982,20200719_004
2322,283.3853575,T,-30.0,-0.1373291015625,,20200719_004
2324,283.6599075,T,5.0,12.5274658203125,7.003501750875438,20200719_004
2326,283.8916375,T,-40.0,-0.18310546875,,20200719_004
2328,284.1537075,T,-20.0,12.054443359375,10.505252626313156,20200719_004
2330,284.41875749999997,T,20.0,13.1988525390625,6.353176588294147,20200719_004
2332,284.70160749999997,T,30.0,13.824462890625,5.952976488244123,20200719_004
2334,284.9464375,T,10.0,12.75634765625,7.003501750875438,20200719_004
2336,285.1852275,T,-10.0,12.8936767578125,9.25462731365683,20200719_004
2338,285.3778375,T,-5.0,12.75634765625,8.254127063531767,20200719_004
2340,285.6023075,T,40.0,14.2974853515625,5.602801400700351,20200719_004
2348,286.6141475,T,0.0,12.63427734375,7.5037518759379696,20200719_004
2350,286.8744175,T,-30.0,-0.274658203125,,20200719_004
2352,287.1508075,T,5.0,12.6190185546875,7.053526763381691,20200719_004
2354,287.4332975,T,-40.0,-0.1068115234375,,20200719_004
2356,287.6997075,T,-20.0,-0.152587890625,,20200719_004
2358,287.9900975,T,20.0,14.1143798828125,6.7033516758379195,20200719_004
2360,288.2608075,T,30.0,14.5263671875,5.952976488244123,20200719_004
2362,288.5364575,T,10.0,13.12255859375,7.403701850925463,20200719_004
2364,288.8141275,T,-10.0,11.8560791015625,9.204602301150576,20200719_004
2366,289.09651749999995,T,-5.0,12.176513671875,8.204102051025513,20200719_004
2368,289.32960749999995,T,40.0,14.1754150390625,5.5027513756878434,20200719_004
2376,290.1040475,T,0.0,12.5885009765625,7.553776888444222,20200719_004
2378,290.2970375,T,-30.0,0.0,,20200719_004
2380,290.55920749999996,T,5.0,13.5498046875,7.1035517758879445,20200719_004
2382,290.80753749999997,T,-40.0,-0.1373291015625,,20200719_004
2384,291.1035075,T,-20.0,-0.213623046875,,20200719_004
2386,291.34403749999996,T,20.0,13.7481689453125,6.353176588294147,20200719_004
2388,291.5949075,T,30.0,14.5263671875,5.952976488244123,20200719_004
2390,291.8488375,T,10.0,12.7105712890625,6.803401700850426,20200719_004
2392,292.1068075,T,-10.0,12.908935546875,9.154577288644322,20200719_004
2394,292.36321749999996,T,-5.0,12.4664306640625,7.753876938469236,20200719_004
2396,292.6488275,T,40.0,14.801025390625,5.602801400700351,20200719_004
2404,293.7151075,T,0.0,12.5732421875,7.603801900950476,20200719_004
2406,293.97139749999997,T,-30.0,0.0152587890625,,20200719_004
2408,294.2294275,T,5.0,12.6495361328125,6.953476738369186,20200719_004
2410,294.48715749999997,T,-40.0,0.1373291015625,,20200719_004
2412,294.75210749999997,T,-20.0,-0.213623046875,,20200719_004
2414,295.00899749999996,T,20.0,14.7247314453125,6.453226613306654,20200719_004
2416,295.23650749999996,T,30.0,15.31982421875,6.003001500750375,20200719_004
2418,295.4892175,T,10.0,13.73291015625,6.753376688344173,20200719_004
2420,295.7510675,T,-10.0,13.2598876953125,9.154577288644322,20200719_004
2422,295.98229749999996,T,-5.0,12.3443603515625,8.104052026013006,20200719_004
2424,296.2624275,T,40.0,14.5263671875,5.702851425712857,20200719_004
2432,297.28824749999995,T,-0.0,12.5732421875,7.553776888444222,20200719_004
2434,297.57735749999995,T,-30.0,-0.18310546875,,20200719_004
2436,297.87926749999997,T,5.0,12.7105712890625,7.003501750875438,20200719_004
2438,298.13811749999996,T,-40.0,-0.030517578125,,20200719_004
2440,298.3784275,T,-20.0,0.1373291015625,,20200719_004
2442,298.6460975,T,20.0,13.7481689453125,6.55327663831916,20200719_004
2444,298.9270075,T,30.0,13.916015625,5.852926463231616,20200719_004
2446,299.18039749999997,T,10.0,12.4664306640625,7.053526763381691,20200719_004
2448,299.4334075,T,-10.0,9.5977783203125,8.854427213606805,20200719_004
2450,299.61193749999995,T,-5.0,12.26806640625,8.254127063531767,20200719_004
2452,299.7672075,T,40.0,14.16015625,5.552776388194097,20200719_004
2460,300.45710749999995,T,0.0,12.6495361328125,7.703851925962982,20200719_004
2462,300.72565749999995,T,-30.0,-0.0762939453125,,20200719_004
2464,301.00730749999997,T,5.0,13.5040283203125,7.003501750875438,20200719_004
2466,301.2703975,T,-40.0,-0.2899169921875,,20200719_004
2468,301.5234675,T,-20.0,0.0,,20200719_004
2470,301.7975375,T,20.0,13.885498046875,6.303151575787894,20200719_004
2472,302.08606749999996,T,30.0,14.9688720703125,5.952976488244123,20200719_004
2474,302.3739975,T,10.0,13.4124755859375,6.903451725862932,20200719_004
2476,302.65194749999995,T,-10.0,3.2806396484375,8.95447723861931,20200719_004
2478,302.9413375,T,-5.0,12.02392578125,8.15407703851926,20200719_004
2480,303.2401675,T,40.0,15.9149169921875,5.802901450725363,20200719_004
2488,304.2831475,T,0.0,12.7716064453125,7.953976988494248,20200719_004
2490,304.54763749999995,T,-30.0,0.091552734375,,20200719_004
2492,304.8333075,T,5.0,12.786865234375,7.053526763381691,20200719_004
2494,305.10421749999995,T,-40.0,0.0152587890625,,20200719_004
2496,305.36040749999995,T,-20.0,-0.030517578125,,20200719_004
2498,305.61585749999995,T,20.0,13.2293701171875,6.253126563281642,20200719_004
2500,305.8798475,T,30.0,14.2974853515625,5.952976488244123,20200719_004
2502,306.1254575,T,10.0,12.5274658203125,6.903451725862932,20200719_004
2504,306.38152749999995,T,-10.0,8.9263916015625,8.0040020010005,20200719_004
2506,306.6386975,T,-5.0,12.5885009765625,8.404202101050526,20200719_004
2508,306.8958075,T,40.0,14.404296875,5.7528764382191095,20200719_004
2516,307.94480749999997,T,0.0,13.0615234375,7.6538269134567285,20200719_004
2518,308.19755749999996,T,-30.0,-0.0762939453125,,20200719_004
2520,308.44546749999995,T,5.0,12.6190185546875,7.1035517758879445,20200719_004
2522,308.7279375,T,-40.0,-0.2288818359375,,20200719_004
2524,308.99400749999995,T,-20.0,-0.1220703125,,20200719_004
2526,309.25375749999995,T,20.0,14.7857666015625,6.303151575787894,20200719_004
2528,309.49792749999995,T,30.0,14.7705078125,6.103051525762882,20200719_004
2530,309.7481375,T,10.0,13.031005859375,6.803401700850426,20200719_004
