,time,code,ampshift,fsl,onset,spkamp,pspamp,exptname,nspk
378,42.00324,T,-40.0,,,0.0,0.0457763671875,20200719_003,0
380,42.24267,T,30.0,6.306306306306307,3.6036036036036037,9.46044921875,9.6282958984375,20200719_003,0
382,42.43488,T,-0.0,7.307307307307308,4.604604604604605,7.781982421875,7.659912109375,20200719_003,0
384,42.59027,T,20.0,7.057057057057057,4.004004004004004,9.1705322265625,9.246826171875,20200719_003,0
386,42.724419999999995,T,-30.0,,,0.0,0.06103515625,20200719_003,0
388,42.86009,T,-5.0,8.108108108108109,4.804804804804806,8.0413818359375,8.0413818359375,20200719_003,0
390,43.01168,T,10.0,7.157157157157158,4.1541541541541545,8.514404296875,8.4075927734375,20200719_003,0
392,43.21686999999999,T,-10.0,8.308308308308309,5.7057057057057055,7.0037841796875,7.0648193359375,20200719_003,0
394,43.46668,T,-20.0,10.11011011011011,6.756756756756757,5.8746337890625,5.9051513671875,20200719_003,0
396,43.70093,T,40.0,6.156156156156156,3.3533533533533535,9.185791015625,9.2010498046875,20200719_003,0
398,43.83539999999999,T,5.0,7.5575575575575575,4.454454454454455,7.8887939453125,7.6751708984375,20200719_003,0
406,44.413199999999996,T,-40.0,,,0.0,-0.1220703125,20200719_003,0
408,44.63466999999999,T,30.0,6.206206206206207,3.653653653653654,9.124755859375,9.1094970703125,20200719_003,0
410,44.79698,T,-0.0,7.407407407407407,4.604604604604605,7.6904296875,7.7056884765625,20200719_003,0
412,44.97009,T,20.0,6.906906906906907,3.9039039039039043,8.758544921875,8.5296630859375,20200719_003,0
414,45.124779999999994,T,-30.0,,,0.0,-0.0152587890625,20200719_003,0
416,45.326069999999994,T,-5.0,7.857857857857859,4.904904904904905,7.965087890625,7.9803466796875,20200719_003,0
418,45.47882,T,10.0,7.357357357357357,4.054054054054054,9.33837890625,9.1094970703125,20200719_003,0
420,45.63637,T,-10.0,8.258258258258259,5.455455455455456,6.28662109375,6.3934326171875,20200719_003,0
422,45.887119999999996,T,-20.0,10.01001001001001,7.5575575575575575,4.4708251953125,4.4097900390625,20200719_003,0
424,46.04042999999999,T,40.0,6.156156156156156,3.3533533533533535,9.8876953125,9.8876953125,20200719_003,0
426,46.201739999999994,T,5.0,7.6076076076076085,4.2542542542542545,8.209228515625,7.904052734375,20200719_003,0
434,46.8191,T,-40.0,,,0.0,-0.030517578125,20200719_003,0
436,47.03180999999999,T,30.0,6.306306306306307,3.653653653653654,9.4451904296875,9.5367431640625,20200719_003,0
438,47.19448,T,0.0,7.7577577577577586,4.654654654654655,8.0413818359375,7.904052734375,20200719_003,0
440,47.36087,T,20.0,6.706706706706707,3.9039039039039043,10.1776123046875,9.9334716796875,20200719_003,0
442,47.51808,T,-30.0,,,0.0,-0.0457763671875,20200719_003,0
444,47.735189999999996,T,-5.0,7.7577577577577586,5.155155155155155,7.5225830078125,7.8277587890625,20200719_003,0
446,47.886239999999994,T,10.0,7.057057057057057,4.054054054054054,8.4686279296875,8.1787109375,20200719_003,0
448,48.117329999999995,T,-10.0,8.65865865865866,5.505505505505505,7.0343017578125,6.927490234375,20200719_003,0
450,48.27314,T,-20.0,10.260260260260262,7.5075075075075075,5.37109375,5.2490234375,20200719_003,0
452,48.43857,T,40.0,6.156156156156156,3.3533533533533535,9.307861328125,9.2010498046875,20200719_003,0
454,48.60677999999999,T,5.0,7.457457457457458,4.504504504504505,8.148193359375,8.2244873046875,20200719_003,0
462,49.324479999999994,T,-40.0,,,0.0,0.1983642578125,20200719_003,0
464,49.48658999999999,T,30.0,6.306306306306307,3.653653653653654,9.1705322265625,8.880615234375,20200719_003,0
466,49.63538,T,0.0,7.5575575575575575,4.654654654654655,7.8887939453125,7.75146484375,20200719_003,0
468,49.85070999999999,T,20.0,7.007007007007007,4.054054054054054,8.758544921875,8.8653564453125,20200719_003,0
470,50.00872,T,-30.0,,,0.0,0.1068115234375,20200719_003,0
472,50.17368999999999,T,-5.0,7.5075075075075075,4.904904904904905,7.3089599609375,7.2479248046875,20200719_003,0
474,50.41103999999999,T,10.0,7.307307307307308,4.2542542542542545,9.307861328125,9.1094970703125,20200719_003,0
476,50.57427,T,-10.0,8.65865865865866,5.8558558558558556,7.6904296875,7.598876953125,20200719_003,0
478,50.81724,T,-20.0,9.909909909909912,7.7577577577577586,5.7220458984375,5.5389404296875,20200719_003,0
480,50.97391,T,40.0,6.106106106106107,3.0530530530530533,10.223388671875,9.857177734375,20200719_003,0
482,51.13724,T,5.0,7.257257257257257,4.454454454454455,8.0413818359375,7.9193115234375,20200719_003,0
490,51.904219999999995,T,-40.0,,,0.0,0.1678466796875,20200719_003,0
492,52.14861,T,30.0,6.206206206206207,3.5035035035035036,9.765625,9.8876953125,20200719_003,0
494,52.30318,T,0.0,7.5075075075075075,4.654654654654655,7.6904296875,7.4462890625,20200719_003,0
496,52.463409999999996,T,20.0,6.856856856856857,2.1021021021021022,9.063720703125,8.8348388671875,20200719_003,0
498,52.67321999999999,T,-30.0,,,0.0,0.06103515625,20200719_003,0
500,52.832049999999995,T,-5.0,8.208208208208209,5.055055055055055,7.4920654296875,7.50732421875,20200719_003,0
502,53.045179999999995,T,10.0,7.257257257257257,3.853853853853854,9.0789794921875,8.8653564453125,20200719_003,0
504,53.28536999999999,T,-10.0,8.108108108108109,5.455455455455456,7.3089599609375,7.1258544921875,20200719_003,0
506,53.44877999999999,T,-20.0,9.909909909909912,8.008008008008009,3.204345703125,3.35693359375,20200719_003,0
508,53.60952999999999,T,40.0,6.206206206206207,3.4034034034034035,10.162353515625,10.1470947265625,20200719_003,0
510,53.76902,T,5.0,7.207207207207207,4.454454454454455,7.75146484375,7.6904296875,20200719_003,0
518,54.55011999999999,T,-40.0,,,0.0,0.0762939453125,20200719_003,0
520,54.80517,T,30.0,6.206206206206207,3.5535535535535536,9.46044921875,9.4146728515625,20200719_003,0
522,55.03648,T,-0.0,7.6576576576576585,4.704704704704705,7.476806640625,7.3394775390625,20200719_003,0
524,55.21187,T,20.0,6.906906906906907,3.853853853853854,9.58251953125,9.5672607421875,20200719_003,0
526,55.450419999999994,T,-30.0,,,0.0,0.1220703125,20200719_003,0
528,55.67679,T,-5.0,7.6076076076076085,5.105105105105106,7.8887939453125,7.9345703125,20200719_003,0
530,55.92782,T,10.0,7.157157157157158,4.2042042042042045,9.1705322265625,9.1552734375,20200719_003,0
532,56.092789999999994,T,-10.0,8.75875875875876,5.655655655655655,7.7362060546875,7.6904296875,20200719_003,0
