,time,code,ampshift,pspamp,exptname
1373,181.9431225,T,-30.0,0.7781982421875,20200719_005
1375,182.2064725,T,10.0,5.79833984375,20200719_005
1377,182.46162249999998,T,-10.0,3.5247802734375,20200719_005
1379,182.71869249999997,T,20.0,5.9051513671875,20200719_005
1381,182.9718825,T,-20.0,2.044677734375,20200719_005
1383,183.27115249999997,T,-40.0,0.6561279296875,20200719_005
1385,183.54098249999998,T,-5.0,4.6234130859375,20200719_005
1387,183.7843725,T,30.0,9.8876953125,20200719_005
1389,184.0471825,T,40.0,10.284423828125,20200719_005
1391,184.3004925,T,0.0,4.7149658203125,20200719_005
1393,184.55638249999998,T,5.0,5.31005859375,20200719_005
1401,185.61830249999997,T,-30.0,0.7781982421875,20200719_005
1403,185.88317249999997,T,10.0,6.1798095703125,20200719_005
1405,186.1412825,T,-10.0,4.0435791015625,20200719_005
1407,186.40887249999997,T,20.0,6.1798095703125,20200719_005
1409,186.66900249999998,T,-20.0,1.8310546875,20200719_005
1411,186.9134125,T,-40.0,0.640869140625,20200719_005
1413,187.1341425,T,-5.0,5.218505859375,20200719_005
1415,187.37843249999997,T,30.0,9.5977783203125,20200719_005
1417,187.6543825,T,40.0,10.0555419921875,20200719_005
1419,187.9210125,T,0.0,5.0048828125,20200719_005
1421,188.14170249999998,T,5.0,5.8135986328125,20200719_005
1429,189.0983225,T,-30.0,0.4730224609375,20200719_005
1431,189.3767125,T,10.0,5.7830810546875,20200719_005
1433,189.65398249999998,T,-10.0,3.1585693359375,20200719_005
1435,189.93627249999997,T,20.0,6.4697265625,20200719_005
1437,190.1033225,T,-20.0,1.861572265625,20200719_005
1439,190.3634325,T,-40.0,0.18310546875,20200719_005
1441,190.6591825,T,-5.0,4.5623779296875,20200719_005
1443,190.9715325,T,30.0,10.467529296875,20200719_005
1445,191.2668225,T,40.0,9.09423828125,20200719_005
1447,191.5530125,T,0.0,4.33349609375,20200719_005
1449,191.8124225,T,5.0,5.2032470703125,20200719_005
1457,193.03262249999997,T,-30.0,0.5035400390625,20200719_005
1459,193.33511249999998,T,10.0,5.9967041015625,20200719_005
1461,193.5977825,T,-10.0,4.57763671875,20200719_005
1463,193.8671925,T,20.0,6.3629150390625,20200719_005
1465,194.2086425,T,-20.0,2.9296875,20200719_005
1467,194.46117249999998,T,-40.0,0.79345703125,20200719_005
1469,194.62388249999998,T,-5.0,5.3253173828125,20200719_005
1471,194.7406725,T,30.0,9.8419189453125,20200719_005
1473,194.87398249999998,T,40.0,10.2996826171875,20200719_005
1475,195.0482725,T,-0.0,4.608154296875,20200719_005
1477,195.29338249999998,T,5.0,5.67626953125,20200719_005
1485,196.45320249999997,T,-30.0,0.8087158203125,20200719_005
1487,196.71181249999998,T,10.0,6.317138671875,20200719_005
1489,196.99654249999998,T,-10.0,4.974365234375,20200719_005
1491,197.30271249999998,T,20.0,5.7220458984375,20200719_005
1493,197.60258249999998,T,-20.0,3.082275390625,20200719_005
1495,197.88129249999997,T,-40.0,1.251220703125,20200719_005
1497,198.1386825,T,-5.0,5.5389404296875,20200719_005
1499,198.3915725,T,30.0,5.92041015625,20200719_005
1501,198.6772025,T,40.0,9.918212890625,20200719_005
1503,198.9261125,T,-0.0,4.608154296875,20200719_005
1505,199.17870249999999,T,5.0,4.8675537109375,20200719_005
1513,200.28722249999998,T,-30.0,0.9918212890625,20200719_005
1515,200.4094725,T,10.0,4.9285888671875,20200719_005
1517,200.51788249999998,T,-10.0,3.570556640625,20200719_005
1519,200.64293249999997,T,20.0,6.3018798828125,20200719_005
1521,200.8064025,T,-20.0,1.6021728515625,20200719_005
1523,201.03307249999997,T,-40.0,0.5035400390625,20200719_005
1525,201.26398249999997,T,-5.0,4.69970703125,20200719_005
1527,201.5226325,T,30.0,5.5084228515625,20200719_005
1529,201.77548249999998,T,40.0,10.4827880859375,20200719_005
1531,202.05127249999998,T,0.0,4.913330078125,20200719_005
1533,202.3004825,T,5.0,6.134033203125,20200719_005
1541,203.44042249999998,T,-30.0,1.3275146484375,20200719_005
1543,203.72029249999997,T,10.0,5.7830810546875,20200719_005
1545,203.96528249999997,T,-10.0,4.302978515625,20200719_005
1547,204.22871249999997,T,20.0,6.2408447265625,20200719_005
1549,204.47838249999998,T,-20.0,3.5247802734375,20200719_005
1551,204.72773249999997,T,-40.0,0.213623046875,20200719_005
1553,204.9967825,T,-5.0,4.6539306640625,20200719_005
1555,205.26517249999998,T,30.0,9.70458984375,20200719_005
1557,205.56932249999997,T,40.0,9.94873046875,20200719_005
1559,205.82429249999998,T,0.0,4.3792724609375,20200719_005
1561,206.1206825,T,5.0,5.4473876953125,20200719_005
