"Time"	"1 highgain"	"SEM"
-0.005000	-0.175797	0.0137377
-0.004950	-0.175442	0.0137992
-0.004900	-0.173767	0.0139839
-0.004850	-0.17496	0.0140459
-0.004800	-0.175361	0.013957
-0.004750	-0.175499	0.013784
-0.004700	-0.174352	0.0136893
-0.004650	-0.176922	0.013715
-0.004600	-0.176245	0.013713
-0.004550	-0.176933	0.0137093
-0.004500	-0.177071	0.0137407
-0.004450	-0.176566	0.0138006
-0.004400	-0.175683	0.0137236
-0.004350	-0.176922	0.0137113
-0.004300	-0.178597	0.0137928
-0.004250	-0.177415	0.0138426
-0.004200	-0.178195	0.0137988
-0.004150	-0.17823	0.01374
-0.004100	-0.178895	0.0136045
-0.004050	-0.17769	0.013664
-0.004000	-0.176727	0.0138618
-0.003950	-0.176279	0.0139552
-0.003900	-0.177208	0.0139149
-0.003850	-0.178918	0.0138379
-0.003800	-0.178723	0.0138964
-0.003750	-0.179606	0.0138407
-0.003700	-0.178998	0.0135857
-0.003650	-0.177518	0.0136783
-0.003600	-0.179308	0.0137418
-0.003550	-0.178734	0.0139847
-0.003500	-0.177702	0.0140276
-0.003450	-0.17574	0.0140852
-0.003400	-0.175591	0.0139861
-0.003350	-0.175189	0.0139301
-0.003300	-0.176635	0.0138842
-0.003250	-0.176612	0.0137658
-0.003200	-0.177518	0.0138047
-0.003150	-0.176681	0.0137376
-0.003100	-0.176096	0.0137838
-0.003050	-0.178241	0.013723
-0.003000	-0.178654	0.01382
-0.002950	-0.179411	0.0138406
-0.002900	-0.177782	0.0138131
-0.002850	-0.176509	0.0139073
-0.002800	-0.175602	0.0138941
-0.002750	-0.175212	0.0138333
-0.002700	-0.174593	0.0137602
-0.002650	-0.176187	0.0138483
-0.002600	-0.174042	0.0137897
-0.002550	-0.173526	0.0136908
-0.002500	-0.174214	0.0137553
-0.002450	-0.174478	0.0137716
-0.002400	-0.17426	0.0136263
-0.002350	-0.17364	0.0135331
-0.002300	-0.172126	0.0135544
-0.002250	-0.171988	0.0135261
-0.002200	-0.17161	0.013824
-0.002150	-0.171977	0.0137785
-0.002100	-0.172252	0.0136931
-0.002050	-0.173675	0.0136768
-0.002000	-0.17387	0.0135618
-0.001950	-0.172103	0.013405
-0.001900	-0.170749	0.0133832
-0.001850	-0.169384	0.0134185
-0.001800	-0.170692	0.0134017
-0.001750	-0.170944	0.0133578
-0.001700	-0.172218	0.0133057
-0.001650	-0.172688	0.0135266
-0.001600	-0.171506	0.0136386
-0.001550	-0.172551	0.0134933
-0.001500	-0.172275	0.0133317
-0.001450	-0.172665	0.0133345
-0.001400	-0.173813	0.0134383
-0.001350	-0.175086	0.0135661
-0.001300	-0.174616	0.0134808
-0.001250	-0.174857	0.0132658
-0.001200	-0.174226	0.0132343
-0.001150	-0.174111	0.0133653
-0.001100	-0.174822	0.0134752
-0.001050	-0.175212	0.0135086
-0.001000	-0.175017	0.0134171
-0.000950	-0.174375	0.0134875
-0.000900	-0.173182	0.0132515
-0.000850	-0.174306	0.0133213
-0.000800	-0.174317	0.0133393
-0.000750	-0.175866	0.0132903
-0.000700	-0.175178	0.0134072
-0.000650	-0.174203	0.0134182
-0.000600	-0.172906	0.0133554
-0.000550	-0.172137	0.0132356
-0.000500	-0.171942	0.0133034
-0.000450	-0.173606	0.0133692
-0.000400	-0.174421	0.0133882
-0.000350	-0.173881	0.0132888
-0.000300	-0.174421	0.0131528
-0.000250	-0.173113	0.0131232
-0.000200	-0.17169	0.0129521
-0.000150	-0.170302	0.0130622
-0.000100	-0.172528	0.01313
-0.000050	-0.173308	0.0130935
0.000000	-0.17317	0.0131225
0.000050	-0.171093	0.013124
0.000100	-0.170267	0.0130089
0.000150	-0.171518	0.0129935
0.000200	-0.173262	0.0130781
0.000250	-0.172619	0.0132051
0.000300	-0.172837	0.0130669
0.000350	-0.172344	0.0129178
0.000400	-0.172539	0.0128965
0.000450	-0.171231	0.012879
0.000500	-0.16935	0.0129747
0.000550	-0.170428	0.0130349
0.000600	-0.171048	0.01291
0.000650	-0.171747	0.0128513
0.000700	-0.170554	0.0128587
0.000750	-0.171438	0.0128008
0.000800	-0.168661	0.0127799
0.000850	-0.170933	0.0127488
0.000900	-0.173124	0.012735
0.000950	-0.173973	0.0128573
0.001000	-0.17348	0.0130139
0.001050	-0.17543	0.0128838
0.001100	-0.176382	0.0128551
0.001150	-0.176359	0.0128249
0.001200	-0.175832	0.0127587
0.001250	-0.177036	0.012705
0.001300	-0.17769	0.0128476
0.001350	-0.176176	0.0129343
0.001400	-0.176463	0.0130341
0.001450	-0.178057	0.0129943
0.001500	-0.179583	0.0128539
0.001550	-0.179985	0.0128284
0.001600	-0.18026	0.0129366
0.001650	-0.179239	0.0130196
0.001700	-0.178757	0.0128989
0.001750	-0.179664	0.0129132
0.001800	-0.18205	0.012674
0.001850	-0.180822	0.0127475
0.001900	-0.180685	0.0128094
0.001950	-0.178952	0.0127781
0.002000	-0.178138	0.0128391
0.002050	-0.179744	0.0127125
0.002100	-0.178792	0.0126263
0.002150	-0.177094	0.0127565
0.002200	-0.177231	0.0128125
0.002250	-0.176658	0.0127077
0.002300	-0.176474	0.0128043
0.002350	-0.178264	0.0126801
0.002400	-0.178459	0.0127446
0.002450	-0.178551	0.0129413
0.002500	-0.175728	0.0129479
0.002550	-0.175981	0.0128644
0.002600	-0.1766	0.0129778
0.002650	-0.177151	0.0128965
0.002700	-0.17566	0.0128457
0.002750	-0.17457	0.0129246
0.002800	-0.175453	0.0128846
0.002850	-0.176761	0.0130421
0.002900	-0.175281	0.012945
0.002950	-0.175843	0.0127806
0.003000	-0.175017	0.01299
0.003050	-0.175499	0.0129512
0.003100	-0.175637	0.0129752
0.003150	-0.174879	0.0131034
0.003200	-0.172895	0.0130209
0.003250	-0.17364	0.0129075
0.003300	-0.171323	0.0130328
0.003350	-0.170795	0.0130586
0.003400	-0.17099	0.0130283
0.003450	-0.171828	0.0129476
0.003500	-0.170726	0.013088
0.003550	-0.171334	0.0131013
0.003600	-0.170577	0.0129839
0.003650	-0.170279	0.0129843
0.003700	-0.170921	0.0130165
0.003750	-0.171506	0.013188
0.003800	-0.172229	0.0131571
0.003850	-0.173606	0.013166
0.003900	-0.175717	0.0132364
0.003950	-0.17769	0.0133677
0.004000	-0.178413	0.0132265
0.004050	-0.177002	0.0131498
0.004100	-0.174329	0.01326
0.004150	-0.173354	0.0132565
0.004200	-0.174593	0.0134383
0.004250	-0.174157	0.0132663
0.004300	-0.17535	0.0132992
0.004350	-0.175499	0.0132396
